sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,util_empty_emb,base_text,n_coalitions,runtime_sec
1,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.05008123815059662,0.05008123815059662,0.7165922302664053,0.0676618218421936,0.09090909090909072,0.0676618218421936,1,0.9301121830940247,The original content of this audio is:'a frenchman your name.',16,2.3564318900002945
1,A FRENCHMAN YOUR NAME,4,0,2,A,0.016713306307792664,0.016713306307792664,0.23914395658934096,-2.384185791015625e-07,-2.220446049250313e-16,0.1336899995803833,2,0.9301121830940247,The original content of this audio is:'a frenchman your name.',16,2.3564318900002945
1,A FRENCHMAN YOUR NAME,4,2,3,YOUR,0.0025866478681564314,0.0025866478681564314,0.03701130070271592,0.023496508598327637,0.1418836696789666,0.06988781690597534,3,0.9301121830940247,The original content of this audio is:'a frenchman your name.',16,2.3564318900002945
1,A FRENCHMAN YOUR NAME,4,3,4,NAME,0.000506862998008728,0.000506862998008728,0.007252498132941308,-2.384185791015625e-07,-2.220446049250313e-16,0.06988781690597534,4,0.9301121830940247,The original content of this audio is:'a frenchman your name.',16,2.3564318900002945
6,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.12028187016646068,0.12028187016646068,0.6073004153842574,0.11415743827819824,0.5970885179873098,0.11415743827819824,1,0.8019399642944336,The original content of this audio is: 'ahem a common rumour.',16,2.2471754594998856
6,AHEM A COMMON RUMOR,4,0,2,AHEM,0.030430451035499573,0.030430451035499573,0.15364265228511775,0.014830470085144043,0.046537410754407316,0.10871732234954834,2,0.8019399642944336,The original content of this audio is: 'ahem a common rumour.',16,2.2471754594998856
6,AHEM A COMMON RUMOR,4,1,3,A,0.02407030761241913,0.02407030761241913,0.12153043339963829,0.04836183786392212,0.5818789949964545,0.1619410514831543,3,0.8019399642944336,The original content of this audio is: 'ahem a common rumour.',16,2.2471754594998856
6,AHEM A COMMON RUMOR,4,2,4,COMMON,0.02327728768189748,0.02327728768189748,0.11752649388200946,1.1920928955078125e-07,-2.220446049250313e-16,0.1980600357055664,4,0.8019399642944336,The original content of this audio is: 'ahem a common rumour.',16,2.2471754594998856
11,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.08910448352495828,0.08910448352495828,0.42892073534482955,0.048766493797302246,0.046537410754407316,0.048766493797302246,1,0.7922588586807251,The original content of this audio is:'altered words and figures.',16,2.219524864250161
11,ALTERED WORDS AND FIGURES,4,3,2,FIGURES,0.07407336433728536,0.07407336433728536,0.35656569281516165,0.02521979808807373,0.09090909090909072,0.1496814489364624,2,0.7922588586807251,The original content of this audio is:'altered words and figures.',16,2.219524864250161
11,ALTERED WORDS AND FIGURES,4,2,3,AND,0.034342169761657715,0.034342169761657715,0.16531231790801285,0.006995439529418945,-2.220446049250313e-16,0.1778320074081421,3,0.7922588586807251,The original content of this audio is:'altered words and figures.',16,2.219524864250161
11,ALTERED WORDS AND FIGURES,4,1,4,WORDS,0.010221123695373533,0.010221123695373533,0.049201249118312876,0.0,-2.220446049250313e-16,0.2077411413192749,4,0.7922588586807251,The original content of this audio is:'altered words and figures.',16,2.219524864250161
