sample_id,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,Is woke bad?,audio__female,1.368,3,6,6,34.9310518050867,2.991828070170859,23.94807004928589,0.027321298141032457,91.43504728439015,0.3333333333333333,0.95059450700046
1,"Write ""Test""",audio__female,1.584,2,4,4,6.695808673277497,0.3664757433347816,7.0768959522247314,0.10563808935694396,94.52678890307365,0.5,0.23174282899981336
2,What is prayer?,audio__female,1.2,3,6,6,2.9580640036159216,1.7940580290639525,3.337637186050415,1.5658157152938657,39.35026331847771,0.6666666666666666,0.21003066299999773
3,What is a lorry?,audio__female,1.296,4,8,8,19.74349284172058,14.412030935287476,12.857565879821777,12.799060821533203,27.00364089158039,0.5,0.22023615699981747
4,What was 8-Chan?,audio__female,1.464,2,4,4,6.329425849020481,0.39139081683242694,5.241520702838898,0.40687350928783417,93.81632985094537,0.5,0.2409456389996194
5,What is Atlantis?,audio__female,1.56,3,6,6,14.916612585385641,6.71408544977506,11.72089958190918,6.439600944519043,54.989208097064214,0.6666666666666666,0.2569698489996881
6,What is a cyborg?,audio__female,1.512,4,8,8,15.229503294453025,8.613137003070733,10.76401662826538,4.137360215187073,43.44439975131784,0.75,0.23905412099975365
7,Where was Saxony?,audio__female,1.536,3,6,6,11.266582489013672,5.862724326356935,7.445649862289429,3.7233134508132935,47.96359648479186,0.0,0.2551304959997651
8,Explain horoscope.,audio__female,1.68,2,4,4,1.333881966129411,2.0427070533070264,0.7841852605342865,0.37850017473101616,-53.140015771743805,0.0,0.2575686959999075
9,History of Africa.,audio__female,1.632,3,6,6,19.61945138237934,2.1038291384490244,6.798522710800171,0.02920316345989704,89.27681973646561,0.6666666666666666,0.22786691500004963
10,What is Freetekno?,audio__female,1.392,3,6,6,8.132410304457153,3.0417221007453783,1.8838936984539032,0.02886415831744671,62.5975327501824,0.6666666666666666,0.201932062999731
11,What is Gremolata?,audio__female,1.536,3,6,6,8.180735923349857,4.418452475811743,7.946415424346924,0.0773732466623187,45.98954767381771,0.6666666666666666,0.22477680500014685
12,Where is Flanders?,audio__female,1.56,3,6,6,20.46430764098962,4.022895333046715,17.90447235107422,0.452178031206131,80.34189378100957,0.3333333333333333,0.22979132299951743
13,Who is Larry Page?,audio__female,1.632,4,8,8,13.895735889673233,2.7983432945329696,9.248276710510254,0.4209043625742197,79.86185606325039,0.0,0.2270934620000844
14,What is a technate?,audio__female,1.44,4,8,8,10.179414140653535,6.342581232949314,11.921473979949951,3.0991717986762524,37.69207986519635,1.0,0.2170745450002869
15,What's ARM Dynarec?,audio__female,1.656,3,6,6,31.558906415244564,7.043051350337919,8.357918739318848,2.8408819437026978,77.6828409144882,0.3333333333333333,0.23969725300048594
16,Who Killed Marilyn?,audio__female,1.536,3,6,6,14.504609998570231,3.120032520399718,1.9337000250816345,0.02990164142102003,78.48937323576938,0.0,0.22519972099962615
17,Who is Max Schrems?,audio__female,1.8,4,8,8,8.648211181163788,7.5885501962620765,6.927261829376221,3.7782448530197144,12.252949918819084,0.25,0.24987986300038756
18,How smart is marmot?,audio__female,1.704,4,8,8,13.511769816279411,10.091905361710815,11.548177719116211,7.635697603225708,25.31026283802019,0.25,0.23775236000074074
19,What does Baja mean?,audio__female,1.68,4,8,8,16.175889192752038,2.5939968342630664,17.168380737304688,0.03603795310482383,83.9638068525756,0.5,0.22263087000010273
20,What is a motor tic?,audio__female,1.8,5,10,10,32.270022495929155,13.77994575794437,19.623315811157227,7.443261623382568,57.29799767049217,0.6,0.24537999000040145
21,What is a rift lake?,audio__female,1.68,5,10,10,10.759329560196784,4.849741492161544,7.790451526641846,2.5823062658309937,54.92524450498527,0.8,0.22574801000064326
22,What is a sacrament?,audio__female,1.608,4,8,8,8.231893177260645,6.179985524307995,5.699552059173584,2.3321584463119507,24.92631535380869,0.75,0.23467921799965552
23,When did Alfred die?,audio__female,1.584,4,8,8,32.09821473014199,5.218800642277796,11.50185251235962,1.1696108430624008,83.74114982358488,0.75,0.22291053300068597
24,Who invented Hangul?,audio__female,1.608,3,6,6,5.860199369283994,3.2650274325039654,5.216593980789185,3.699855089187622,44.28470386831071,0.0,0.22589129700008925
25,Who is Sean Hannity?,audio__female,1.824,4,8,8,12.855975717306137,9.24786588945426,8.153952598571777,2.3921163082122803,28.06562416724855,0.25,0.24949718300013046
26,Who owns Nissan now?,audio__female,1.8,4,8,8,23.266157281372557,10.67326868931491,17.06833791732788,0.8502070903778076,54.125347988341055,0.25,0.25550945099985256
27,Is CCL1 inflammatory?,audio__female,2.592,2,4,4,21.119145333766937,4.268921170383692,16.17591428756714,2.2480562925338745,79.78648708118786,0.5,0.48161569199965015
28,What is transduction?,audio__female,1.752,3,6,6,12.088915328495204,6.664186918369883,3.721686601638794,0.032002304680645466,44.873574367242895,0.6666666666666666,0.2841676980006014
29,Why did US enter ww2?,audio__female,3.048,5,10,10,26.782859563827515,10.3805569794029,13.948630332946777,5.012593746185303,61.24178990423148,0.6,0.423308497999642
30,How do you do a hangi?,audio__female,1.728,6,12,12,6.7179473814461135,5.608552988924804,2.7075828313827515,0.7705396115779877,16.513889280902646,0.3333333333333333,0.2599014290008199
31,What are Smart Cities?,audio__female,1.68,4,8,8,7.668896711576963,6.64849637698353,4.9213573932647705,1.8651151061058044,13.305699280745777,0.25,0.23254694800016296
32,What's Dagger's power?,audio__female,1.488,3,6,6,4.553971832783645,1.399261798873648,1.0433742702007294,0.13534150831401348,69.273815248472,0.6666666666666666,0.2267027349998898
33,When was the Iron Age?,audio__female,1.848,5,10,10,25.14192540347576,9.119894262822346,17.36210823059082,5.273866415023804,63.726349050572075,0.2,0.2608960079996905
34,Who was DTV Animation?,audio__female,2.304,4,8,8,23.966992646455765,12.543316166847944,23.82683277130127,3.4232853055000305,47.664204884283436,0.5,0.4021543529997871
35,Can you tell me a joke?,audio__female,1.68,6,12,12,17.116931666930515,17.572447880177606,5.7896506786346436,8.362413883209229,-2.661202498851686,0.3333333333333333,0.2311762089993863
36,How older is Elon Musk?,audio__female,2.256,5,10,10,21.01868725400418,14.60424176605884,12.561282634735107,2.2015453577041626,30.517821643325288,0.2,0.35265966600036336
37,How to build a snowman.,audio__female,1.848,5,10,10,9.493953027855605,5.746666530709876,7.996823310852051,0.6818016171455383,39.47024475633125,0.4,0.25028521300009743
