sample_id,dataset_config,boundary_idx,transcript,audio_column,raw_time_sec,refined_time_sec,raw_flux,refined_flux,delta_time_ms
0,single_sentence_500,0,OH OH I I,audio__original,0.540877,0.460875,60.49445724487305,42.65960693359375,-80.00200000000007
0,single_sentence_500,1,OH OH I I,audio__original,0.681104,0.761234,24.275047302246094,1.1245933771133423,80.12999999999992
0,single_sentence_500,2,OH OH I I,audio__original,1.342175,0.9615,2.776298999786377,0.050236765295267105,-380.6749999999999
0,single_sentence_500,3,OH OH I I,audio__original,1.442338,1.522468,11.912994384765625,1.5028256177902222,80.13000000000004
0,single_sentence_500,4,OH OH I I,audio__original,1.903084,1.658625,15.333250045776367,0.02061125449836254,-244.45899999999997
0,single_sentence_500,5,OH OH I I,audio__original,1.923117,2.023279,25.67351531982422,4.064355373382568,100.16200000000009
0,single_sentence_500,6,OH OH I I,audio__original,2.884675,2.143474,3.7335400581359863,0.8046144843101501,-741.2010000000002
0,single_sentence_500,7,OH OH I I,audio__original,2.984838,2.984838,0.07981011271476746,0.07981011271476746,0.0
1,single_sentence_500,0,AND NOW I SAID,audio__original,0.583085,0.503062,17.668031692504883,0.16626273095607758,-80.02299999999995
1,single_sentence_500,1,AND NOW I SAID,audio__original,0.683617,0.683617,32.7038459777832,32.7038459777832,0.0
1,single_sentence_500,2,AND NOW I SAID,audio__original,0.764043,0.743936,44.18689727783203,63.74833679199219,-20.106999999999985
1,single_sentence_500,3,AND NOW I SAID,audio__original,0.904787,1.005319,121.2257308959961,1.9361004829406738,100.53200000000007
1,single_sentence_500,4,AND NOW I SAID,audio__original,1.266702,1.125957,0.4833100438117981,0.16419528424739838,-140.7449999999999
1,single_sentence_500,5,AND NOW I SAID,audio__original,1.306915,1.306915,14.664665222167969,14.664665222167969,0.0
1,single_sentence_500,6,AND NOW I SAID,audio__original,1.44766,1.38734,10.107990264892578,31.405500411987305,-60.31999999999993
1,single_sentence_500,7,AND NOW I SAID,audio__original,1.749255,1.749255,0.07287110388278961,0.07287110388278961,0.0
2,single_sentence_500,0,I AM VERY GLAD,audio__original,0.38181,0.38181,1.528908610343933,1.528908610343933,0.0
2,single_sentence_500,1,I AM VERY GLAD,audio__original,0.401905,0.452143,1.1333060264587402,1.0437897443771362,50.23800000000001
2,single_sentence_500,2,I AM VERY GLAD,audio__original,0.602857,0.562667,21.486431121826172,5.66755485534668,-40.18999999999995
2,single_sentence_500,3,I AM VERY GLAD,audio__original,0.683238,0.713381,11.990492820739746,25.644439697265625,30.14300000000003
2,single_sentence_500,4,I AM VERY GLAD,audio__original,1.085143,0.915937,80.97350311279297,0.09448589384555817,-169.20599999999996
2,single_sentence_500,5,I AM VERY GLAD,audio__original,1.326286,1.366476,32.882320404052734,14.07153606414795,40.18999999999995
2,single_sentence_500,6,I AM VERY GLAD,audio__original,1.466952,1.414625,102.56279754638672,0.9516953229904175,-52.32700000000001
2,single_sentence_500,7,I AM VERY GLAD,audio__original,2.009524,2.0695,0.000427392718847841,6.073978511267342e-05,59.976000000000255
3,single_sentence_500,0,MINSTREL A D J,audio__original,0.482182,0.402125,5.474331855773926,0.5618276596069336,-80.05699999999999
3,single_sentence_500,1,MINSTREL A D J,audio__original,0.944273,1.004545,21.754018783569336,0.4924153685569763,60.27199999999999
3,single_sentence_500,2,MINSTREL A D J,audio__original,1.446545,1.321,104.28120422363281,0.015106739476323128,-125.54500000000002
3,single_sentence_500,3,MINSTREL A D J,audio__original,1.466636,1.506818,105.34404754638672,87.37023162841797,40.18199999999994
3,single_sentence_500,4,MINSTREL A D J,audio__original,1.526909,1.526909,3.153563976287842,3.153563976287842,0.0
3,single_sentence_500,5,MINSTREL A D J,audio__original,1.547,1.547,1.8311505317687988,1.8311505317687988,0.0
3,single_sentence_500,6,MINSTREL A D J,audio__original,1.607273,1.587182,16.97496223449707,19.149389266967773,-20.09099999999986
3,single_sentence_500,7,MINSTREL A D J,audio__original,1.627364,1.695312,14.758424758911133,0.013231349177658558,67.9479999999999
4,single_sentence_500,0,NOW TO BED BOY,audio__original,0.442056,0.522,16.276010513305664,148.14999389648438,79.94400000000002
4,single_sentence_500,1,NOW TO BED BOY,audio__original,0.622897,0.723364,163.8980712890625,1.9749681949615479,100.46699999999997
4,single_sentence_500,2,NOW TO BED BOY,audio__original,0.803738,0.763551,6.709810733795166,1.9734411239624023,-40.18699999999997
4,single_sentence_500,3,NOW TO BED BOY,audio__original,0.864019,0.884112,10.542473793029785,8.163286209106445,20.09300000000003
4,single_sentence_500,4,NOW TO BED BOY,audio__original,0.984579,0.924299,115.47821807861328,3.3898844718933105,-60.28
4,single_sentence_500,5,NOW TO BED BOY,audio__original,1.225701,1.265888,1.3593415021896362,0.33794084191322327,40.18699999999997
4,single_sentence_500,6,NOW TO BED BOY,audio__original,1.426636,1.306075,183.3853759765625,0.22020894289016724,-120.56099999999992
4,single_sentence_500,7,NOW TO BED BOY,audio__original,1.667757,1.667757,40.79341506958008,40.79341506958008,0.0
5,single_sentence_500,0,O LOVE O TROTH,audio__original,0.38152,0.3015,92.72251892089844,0.14933288097381592,-80.02000000000004
5,single_sentence_500,1,O LOVE O TROTH,audio__original,0.42168,0.502,164.9373016357422,70.80683135986328,80.32000000000001
5,single_sentence_500,2,O LOVE O TROTH,audio__original,0.6024,0.57228,57.8753776550293,41.774166107177734,-30.120000000000037
5,single_sentence_500,3,O LOVE O TROTH,audio__original,0.84336,0.9036,0.49544602632522583,0.6145848035812378,60.23999999999996
5,single_sentence_500,4,O LOVE O TROTH,audio__original,1.48592,1.4,78.10749816894531,0.048257485032081604,-85.92
5,single_sentence_500,5,O LOVE O TROTH,audio__original,1.506,1.58632,198.53134155273438,10.92551040649414,80.31999999999995
5,single_sentence_500,6,O LOVE O TROTH,audio__original,1.7068,1.62648,8.818034172058105,4.665707111358643,-80.32000000000016
5,single_sentence_500,7,O LOVE O TROTH,audio__original,2.06824,2.148188,1.4249508380889893,0.11388647556304932,79.94800000000035
6,single_sentence_500,0,EVER YOUR'S W H,audio__original,0.5225,0.4425,66.0484848022461,0.24188680946826935,-79.99999999999996
6,single_sentence_500,1,EVER YOUR'S W H,audio__original,0.703365,0.743375,10.340800285339355,2.30820894241333,40.00999999999999
6,single_sentence_500,2,EVER YOUR'S W H,audio__original,0.823942,0.763654,19.502952575683594,2.5616400241851807,-60.2879999999999
6,single_sentence_500,3,EVER YOUR'S W H,audio__original,1.145481,1.225865,19.999330520629883,3.2960169315338135,80.38400000000001
6,single_sentence_500,4,EVER YOUR'S W H,audio__original,2.210577,1.802375,5.009154796600342,0.10576345026493073,-408.2019999999997
6,single_sentence_500,5,EVER YOUR'S W H,audio__original,2.250769,2.793365,18.926206588745117,2.0809757709503174,542.5960000000001
6,single_sentence_500,6,EVER YOUR'S W H,audio__original,2.87375,2.87375,0.40072259306907654,0.40072259306907654,0.0
6,single_sentence_500,7,EVER YOUR'S W H,audio__original,2.893846,2.893846,0.6011656522750854,0.6011656522750854,0.0
7,single_sentence_500,0,HE SAID WHY YOU,audio__original,0.281892,0.201875,0.41074374318122864,0.0065720900893211365,-80.01699999999998
7,single_sentence_500,1,HE SAID WHY YOU,audio__original,0.342297,0.442312,1.9451618194580078,0.7478806376457214,100.01499999999996
7,single_sentence_500,2,HE SAID WHY YOU,audio__original,0.563784,0.483243,22.537029266357422,37.949951171875,-80.54099999999997
7,single_sentence_500,3,HE SAID WHY YOU,audio__original,0.825541,0.845676,0.6978812217712402,0.4363764822483063,20.135000000000012
7,single_sentence_500,4,HE SAID WHY YOU,audio__original,1.671216,1.1945,52.933349609375,0.01083520520478487,-476.7160000000001
7,single_sentence_500,5,HE SAID WHY YOU,audio__original,1.852432,1.973243,14.600257873535156,2.3165764808654785,120.811
7,single_sentence_500,6,HE SAID WHY YOU,audio__original,2.053784,2.050187,0.0041834404692053795,0.0041834404692053795,-3.5969999999996283
7,single_sentence_500,7,HE SAID WHY YOU,audio__original,2.114189,2.053784,0.055031586438417435,0.0041834404692053795,-60.405000000000264
8,single_sentence_500,0,I KNEW YOU ALSO,audio__original,0.58478,0.50475,12.364500045776367,0.058903768658638,-80.02999999999993
8,single_sentence_500,1,I KNEW YOU ALSO,audio__original,0.604945,0.635192,61.878116607666016,61.14221954345703,30.247000000000025
8,single_sentence_500,2,I KNEW YOU ALSO,audio__original,0.766264,0.746099,95.11101531982422,51.01446533203125,-20.16499999999999
8,single_sentence_500,3,I KNEW YOU ALSO,audio__original,0.927582,0.967912,10.902243614196777,4.494781017303467,40.32999999999998
8,single_sentence_500,4,I KNEW YOU ALSO,audio__original,1.048571,1.038489,84.16288757324219,31.783464431762695,-10.081999999999924
