sample_id,dataset_config,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,single_sentence_500,OH OH I I,audio__original,3.085,4,8,8,18.03486418351531,6.288331739837304,13.623122215270996,0.9646039307117462,65.1323587699367,0.25,1.1281981670035748
1,single_sentence_500,AND NOW I SAID,audio__original,1.89,4,8,8,30.139167809858918,18.1077222507447,16.166348457336426,8.300382852554321,39.91963426136329,0.25,0.22023908401024528
2,single_sentence_500,I AM VERY GLAD,audio__original,2.11,4,8,8,31.569773379414983,6.1253088660128014,16.73846197128296,1.2863491773605347,80.5975519925436,0.0,0.20675633299106266
3,single_sentence_500,MINSTREL A D J,audio__original,2.21,4,8,8,34.196462988853455,14.073364565032534,15.866693496704102,1.1964890956878662,58.84555496391591,1.0,0.22238083300180733
4,single_sentence_500,NOW TO BED BOY,audio__original,2.15,4,8,8,67.30533961951733,25.625392343848944,28.53471279144287,2.682426333427429,61.92665769356278,0.25,0.2000162499898579
5,single_sentence_500,O LOVE O TROTH,audio__original,2.51,4,8,8,75.36405862122774,16.137284578755498,67.9914379119873,2.64014595746994,78.5875590115709,0.5,0.2119496670056833
6,single_sentence_500,EVER YOUR'S W H,audio__original,3.135,4,8,8,17.60360222682357,1.4495475217700005,14.633503437042236,1.3410707116127014,91.76561988226906,0.5,0.21894462499767542
7,single_sentence_500,HE SAID WHY YOU,audio__original,2.235,4,8,8,11.64795482007321,5.184569868608378,1.321521520614624,0.22360584372654557,55.4894404322922,0.25,0.21957937499973923
8,single_sentence_500,I KNEW YOU ALSO,audio__original,1.835,4,8,8,47.55752232368104,38.67321760393679,52.84074020385742,41.39896488189697,18.68117657450029,0.0,0.23981854200246744
9,single_sentence_500,TIED TO A WOMAN,audio__original,2.49,4,8,8,4.679338840287528,3.5192329994820284,4.5325011014938354,2.1785876750946045,24.792088805738533,0.75,0.22492462499940302
10,single_sentence_500,TO A MAN REVIEW,audio__original,3.57,4,8,8,42.67016139626503,16.303613408410456,29.858891487121582,8.134872198104858,61.7915356424278,0.5,0.23010829200211447
11,single_sentence_500,AN AS FOR FEEDIN,audio__original,1.845,4,8,8,28.295622600475326,17.955769217805937,19.184030294418335,0.4923114478588104,36.54223668680008,0.5,0.20390804100316018
12,single_sentence_500,AND OH ANNE DEAR,audio__original,1.91,4,8,8,21.929787531495094,12.952613168396056,11.238391876220703,1.7586338222026825,40.93598421875365,0.25,0.21127862500725314
13,single_sentence_500,AND WOOD AND SEA,audio__original,2.325,4,8,8,42.25957417115569,49.17089093429968,34.41898059844971,24.13023042678833,-16.354440144504135,0.0,0.2987452499946812
14,single_sentence_500,ELEVEN P M MAJOR,audio__original,3.38,4,8,8,48.1934794485569,7.470896369733964,17.033437252044678,2.0411085337400436,84.49811788810847,0.5,0.2743279169953894
15,single_sentence_500,HOW WAS THAT HOW,audio__original,3.215,4,8,8,21.223029998596758,4.151918506322545,6.571415424346924,0.11848030891269445,80.43673072790706,0.0,0.25201270800607745
16,single_sentence_500,I SLEEP ON A BED,audio__original,1.845,5,10,10,52.888392583280805,12.76286658719182,30.969545364379883,0.43983039259910583,75.8683031118884,0.8,0.05093391699483618
17,single_sentence_500,IT IS THE DELUGE,audio__original,2.73,4,8,8,12.548565734359727,1.0827160780363556,4.155867978930473,0.009036600626131985,91.37179418782716,1.0,0.2703358750004554
18,single_sentence_500,LOOK AT THAT MAN,audio__original,2.25,4,8,8,61.76058312691748,6.739269534125924,12.811692953109741,0.8986646234989166,89.08807334238283,0.75,0.24124524999933783
19,single_sentence_500,NO SAID THE TREE,audio__original,2.675,4,8,8,48.58623480889946,11.452311848290265,15.286981105804443,1.0287236720323563,76.42889618153214,0.25,0.27593379199970514
20,single_sentence_500,ONCE UPON A TIME,audio__original,1.855,4,8,8,13.524421024369076,7.832411296782084,4.897988677024841,1.9171314239501953,42.08690129751805,0.5,0.2516048329998739
21,single_sentence_500,TO DAY I SHOUTED,audio__original,2.26,4,8,8,26.05934240343049,5.602902410784736,15.566754341125488,3.8771612644195557,78.49944820538848,0.5,0.23546541700488888
22,single_sentence_500,AND LOVE BE FALSE,audio__original,2.335,4,8,8,39.14336181432009,5.703372485470027,41.72376823425293,0.6695624589920044,85.42952822365011,0.5,0.22602958300558385
23,single_sentence_500,AND SO IN MY VIEW,audio__original,2.26,5,10,10,6.212466077506543,0.8632613644935191,1.2838889360427856,0.20527224987745285,86.10436896196299,0.8,0.07186145799641963
24,single_sentence_500,AND WHAT A SCREAM,audio__original,1.975,4,8,8,22.141672156751156,10.98312438314315,8.680071592330933,0.7692473530769348,50.396138532860014,0.25,0.2413589579955442
25,single_sentence_500,BY WHAT RIGHT SIR,audio__original,2.305,4,8,8,20.292198496870697,0.43800515960901976,10.611215353012085,0.35355542600154877,97.84150958469796,0.25,0.2297098749986617
26,single_sentence_500,DEATH OF A FRIEND,audio__original,2.195,4,8,8,15.080132492817938,5.685300360899419,3.8436014652252197,1.569407343864441,62.2994004621173,0.25,0.2776055419963086
27,single_sentence_500,FACE AND FIGURE I,audio__original,3.025,4,8,8,29.206902027130127,7.307910851202905,18.18930721282959,1.966794729232788,74.978822319414,0.5,0.21163854100450408
28,single_sentence_500,I GIVE MY CONSENT,audio__original,2.44,4,8,8,53.44537855646922,9.191325568157481,37.806732177734375,8.27882832288742,82.80239411449556,1.0,0.20048308299737982
29,single_sentence_500,IT IS REMARKED BY,audio__original,1.505,4,8,8,45.86677249148488,46.34568798728287,10.924487709999084,12.904139161109924,-1.0441447474572185,0.25,0.1995946250099223
30,single_sentence_500,MAGNIFICENT A D J,audio__original,2.96,4,8,8,15.306708063930273,3.323434002872091,2.8350303173065186,0.37017256394028664,78.28772856324576,0.5,0.10755158300162293
31,single_sentence_500,SO IT SEEMS TO ME,audio__original,2.28,5,10,10,42.56560747511685,38.19845215678215,17.379133224487305,17.379133224487305,10.25982143186295,0.2,0.09232483300729655
32,single_sentence_500,VERY WELL HE SAID,audio__original,2.015,4,8,8,5.402125048451126,1.0632566725835204,3.4476088285446167,0.7517362236976624,80.3178071028109,0.0,0.2067599170113681
33,single_sentence_500,BUT NOW IN A FLASH,audio__original,2.905,5,10,10,7.928758716583252,3.0786582604050636,4.134907007217407,1.214116096496582,61.170993210249264,0.2,0.2210445419914322
34,single_sentence_500,BUT YOU DON'T MEAN,audio__original,2.06,4,8,8,5.29422143924603,0.8407377933217504,2.6293675899505615,0.08232573233544827,84.11970857340106,0.75,0.20436266699107364
35,single_sentence_500,DONE THE LATIN YES,audio__original,3.045,4,8,8,16.095868438482285,4.7471484488633,8.87337350845337,3.741661310195923,70.50703746115535,0.25,0.2507454170117853
36,single_sentence_500,EMILY AT THIS TIME,audio__original,2.11,4,8,8,55.66073362529278,1.6389043366652913,61.337486267089844,0.6254575848579407,97.05554664856132,0.5,0.060506875001010485
37,single_sentence_500,HE KNOWS THEM BOTH,audio__original,1.915,4,8,8,25.884460561850574,10.45594276546035,9.71591854095459,7.302181959152222,59.6053286856181,0.5,0.18910304200835526
