sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,1,1,was,0.1641777940094471,0.1641777940094471,0.1641777886465849,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0323543176054954,0.967645801603794,0.4025416666666667,0.5434583333333334,0.1409166666666666,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,5,2,Balboa,0.157517759129405,0.157517759129405,0.1575177539840926,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0730155259370803,0.9269845932722092,1.837041666666667,2.375208333333333,0.5381666666666667,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,2,3,Vasco,0.1554649006575346,0.1554649006575346,0.1554648955792788,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0391568057239055,0.960843313485384,0.6118333333333333,1.0869583333333332,0.475125,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,4,4,de,0.154572045430541,0.154572045430541,0.1545720403814503,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0501905307173728,0.9498095884919168,1.6908333333333334,1.811583333333333,0.12075,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,6,5,born?,0.1409944724291563,0.1409944724291563,0.1409944678235765,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0352636352181434,0.964736483991146,2.406041666666667,2.77725,0.3712083333333333,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,3,6,Núñez,0.130776422098279,0.130776422098279,0.1307764178264715,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0427673794329166,0.9572327397763728,1.1272083333333334,1.6505416666666666,0.5233333333333333,0.9641190214481736
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,0,7,When,0.0964966379106044,0.0964966379106044,0.096496634758545,0.1641777940094471,0.006660034880042,1.0422811616580294,0.1641777886465849,0.9936827600563952,0.0774275891445888,1.0000001192092896,0.0218615755438804,0.9781385436654092,0.081,0.3421666666666667,0.2611666666666666,0.9641190214481736
1,1,audio__female,What is a Dyson Sphere?,5,1,1,is,0.3472325522452593,0.3472325522452593,0.347232557072195,0.3472325522452593,0.0291751772165298,1.0917292866488797,0.347232557072195,0.8859191904201956,0.3235360160251859,1.0,1.0,0.0,0.405,0.5265,0.1215,0.6953662427607924
1,1,audio__female,What is a Dyson Sphere?,5,2,2,a,0.3180573750287294,0.3180573750287294,0.3180573794500963,0.3472325522452593,0.0291751772165298,1.0917292866488797,0.347232557072195,0.8859191904201956,0.3235360160251859,1.0,1.0,0.0,0.6075,0.6575,0.05,0.6953662427607924
1,1,audio__female,What is a Dyson Sphere?,5,3,3,Dyson,0.1861561639234423,0.1861561639234423,0.1861561665112292,0.3472325522452593,0.0291751772165298,1.0917292866488797,0.347232557072195,0.8859191904201956,0.3235360160251859,1.0,0.0866218134760856,0.9133781865239144,0.6869583333333333,1.215,0.5280416666666666,0.6953662427607924
