sample_id,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,deletion_drop_emb,deletion_drop_tfidf,cumulative_drop_emb,cumulative_n_deleted,segment_dur_sec,util_empty_emb,base_text,n_coalitions,runtime_sec
1,What is the MOO programming language?,6,4,1,programming,0.07015269249677658,0.07015269249677658,0.2966231425012337,0.11994832754135132,0.4578625234516053,0.11994832754135132,1,0.5327179487179489,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
1,What is the MOO programming language?,6,0,2,What,0.056252386420965195,0.056252386420965195,0.23784916928380348,0.13306152820587158,0.7934408882022711,0.16697967052459717,2,0.22072756410256408,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
1,What is the MOO programming language?,6,5,3,language?,0.04473918676376343,0.04473918676376343,0.18916847947677673,0.15583324432373047,0.7171572875253809,0.17720752954483032,3,0.4920673076923079,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
1,What is the MOO programming language?,6,3,4,MOO,0.04431682080030441,0.04431682080030441,0.18738261046864804,0.1390399932861328,0.7642977396044841,0.2167189121246338,4,0.21807051282051293,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
1,What is the MOO programming language?,6,1,5,is,0.0138016352429986,0.0138016352429986,0.058356768239823886,0.059854745864868164,0.3915130155406693,0.1860959529876709,5,0.12061538461538457,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
1,What is the MOO programming language?,6,2,6,the,0.007241724990308285,0.007241724990308285,0.03061982580146386,0.009698927402496338,0.013072457560346695,0.23650431632995605,6,0.060307692307692284,0.763495683670044,"""MoU"" is not a recognized programming language. If you meant to ask about a specific programming language, please provide more context so I can give you a more accurate response. If you meant something else, please provide more details so I",64,8.68173150616652
2,How many seasons did Everwood have?,6,4,1,Everwood,0.10726778209209442,0.10726778209209442,0.433894602463046,0.11974835395812988,0.08712907082472299,0.11974835395812988,1,0.36124137931034506,0.7530450224876404,How many seasons did Everwood have?,64,7.2351131183331745
2,How many seasons did Everwood have?,6,3,2,did,0.07805455476045609,0.07805455476045609,0.3157280718188184,0.10531622171401978,0.33333333333333315,0.1734793782234192,2,0.1365272988505748,0.7530450224876404,How many seasons did Everwood have?,64,7.2351131183331745
2,How many seasons did Everwood have?,6,2,3,seasons,0.03312787786126137,0.03312787786126137,0.13400116152970876,0.07021969556808472,0.1666666666666664,0.20942151546478271,3,0.3813103448275864,0.7530450224876404,How many seasons did Everwood have?,64,7.2351131183331745
2,How many seasons did Everwood have?,6,1,4,many,0.01642310619354248,0.01642310619354248,0.06643091703842247,0.0,-2.220446049250313e-16,0.21265214681625366,4,0.16920977011494254,0.7530450224876404,How many seasons did Everwood have?,64,7.2351131183331745
