sample_id,row_index,audio_column,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_sv,segment_abs_sv,segment_abs_sv_share,top_abs_sv,top1_top2_gap,top1_top2_ratio,top1_share,abs_sv_entropy_norm,abs_sv_gini,original_similarity,deleted_similarity,deletion_drop,cumulative_similarity,cumulative_drop,cumulative_n_deleted,tfidf_original_sim,tfidf_deleted_sim,tfidf_deletion_drop,tfidf_cumulative_sim,tfidf_cumulative_drop,seqmatch_deleted_sim,seqmatch_deletion_drop,seqmatch_cumulative_sim,seqmatch_cumulative_drop,segment_start_sec,segment_end_sec,mask_duration_sec,runtime_sec
1,1,audio__original,A FRENCHMAN YOUR NAME,4,0,1,A,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,1.0,0.34765625,0.65234375,0.400390625,0.599609375,1,1.0,0.17541160386140592,0.824588396138594,0.26311740579210885,0.7368825942078912,0.2247191011235955,0.7752808988764045,0.16470588235294117,0.8352941176470589,0.3214375,0.4415625,0.120125,2.677838515500298
1,1,audio__original,A FRENCHMAN YOUR NAME,4,1,2,FRENCHMAN,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,1.0,0.56640625,0.43359375,0.51953125,0.48046875,2,1.0,0.26311740579210885,0.7368825942078912,0.3344968040028364,0.6655031959971636,0.16470588235294117,0.8352941176470589,0.4375,0.5625,0.48175,1.003625,0.521875,2.677838515500298
1,1,audio__original,A FRENCHMAN YOUR NAME,4,2,3,YOUR,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,1.0,0.10302734375,0.89697265625,0.4765625,0.5234375,3,1.0,0.4902903378454603,0.5097096621545397,0.496138938356834,0.503861061643166,0.32432432432432434,0.6756756756756757,0.36363636363636365,0.6363636363636364,1.1801875,1.906875,0.7266875,2.677838515500298
1,1,audio__original,A FRENCHMAN YOUR NAME,4,3,4,NAME,1.0,1.0,0.2499999999375,1.0,0.0,0.9999999989999999,0.2499999999375,0.9999999999303368,0.0,1.0,0.7734375,0.2265625,0.5703125,0.4296875,4,1.0,0.6405126152203487,0.35948738477965125,0.5604485383178052,0.43955146168219483,0.6732673267326733,0.3267326732673267,0.6470588235294118,0.3529411764705882,1.99725,2.228375,0.231125,2.677838515500298
43,43,audio__original,AND THERE WAS MY AUNT,5,0,1,AND,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.1044921875,0.8955078125,0.33984375,0.66015625,1,1.0,0.0,1.0,0.5012804118276032,0.4987195881723968,0.2191780821917808,0.7808219178082192,0.46296296296296297,0.537037037037037,0.4435,0.604,0.1605,1.209379408199311
43,43,audio__original,AND THERE WAS MY AUNT,5,1,2,THERE,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.138671875,0.861328125,0.375,0.625,2,1.0,0.38924947208076155,0.6107505279192385,0.0,1.0,0.5420560747663551,0.4579439252336449,0.3584905660377358,0.6415094339622642,0.6321875,0.765125,0.1329375,1.209379408199311
43,43,audio__original,AND THERE WAS MY AUNT,5,2,3,WAS,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.1669921875,0.8330078125,0.166015625,0.833984375,3,1.0,0.23354968324845693,0.7664503167515431,0.19518001458970669,0.8048199854102933,0.47058823529411764,0.5294117647058824,0.27586206896551724,0.7241379310344828,0.78525,0.86575,0.0805,1.209379408199311
43,43,audio__original,AND THERE WAS MY AUNT,5,3,4,MY,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.2236328125,0.7763671875,0.1298828125,0.8701171875,4,1.0,0.0,1.0,0.23094010767585035,0.7690598923241496,0.25263157894736843,0.7473684210526316,0.23684210526315788,0.7631578947368421,0.9261875,1.026875,0.1006875,1.209379408199311
43,43,audio__original,AND THERE WAS MY AUNT,5,4,5,AUNT,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0,0.240234375,0.759765625,0.1044921875,0.8955078125,5,1.0,0.38924947208076155,0.6107505279192385,0.0,1.0,0.5420560747663551,0.4579439252336449,0.23423423423423423,0.7657657657657657,1.0771875,1.368625,0.2914375,1.209379408199311
94,94,audio__original,CLOTHO FROM TIME TO TIME,5,0,1,CLOTHO,1.0,1.0,0.19999999996,1.0,0.0,0.9999999989999999,0.19999999996,0.999999999924267,0.0,1.0078125,0.115234375,0.892578125,0.150390625,0.857421875,1,1.0,0.17541160386140592,0.824588396138594,0.0,1.0,0.2909090909090909,0.7090909090909091,0.26548672566371684,0.7345132743362832,0.322125,0.7435625,0.4214375,1.2910425576003035
