sample_id,boundary_idx,transcript,audio_column,raw_time_sec,refined_time_sec,raw_flux,refined_flux,delta_time_ms
0,0,Is woke bad?,audio__male,0.1428,0.062792,46.31604766845703,1.8764398035386876e-08,-80.00800000000001
0,1,Is woke bad?,audio__male,0.2448,0.255,5.024911880493164,2.53170108795166,10.200000000000015
0,2,Is woke bad?,audio__male,0.3876,0.306,195.04998779296875,2.0695817470550537,-81.60000000000001
0,3,Is woke bad?,audio__male,0.612,0.6324,0.44252458214759827,0.0033316665794700384,20.399999999999974
0,4,Is woke bad?,audio__male,0.7752,0.6732,255.07086181640625,0.006728427950292826,-101.99999999999999
0,5,Is woke bad?,audio__male,1.122,1.202,6.3025855645548745e-09,1.467861784476554e-05,79.99999999999984
1,0,"Write ""Test""",audio__male,0.14175,0.061708,26.61060333251953,2.3049285573506495e-06,-80.04199999999999
1,1,"Write ""Test""",audio__male,0.405,0.4455,1.4611878395080566,0.09681172668933868,40.49999999999998
1,2,"Write ""Test""",audio__male,0.74925,0.5825,33.38270568847656,4.58810802683729e-07,-166.74999999999994
1,3,"Write ""Test""",audio__male,1.03275,1.051417,0.001929975114762783,8.231191895902157e-05,18.666999999999987
2,0,What is prayer?,audio__male,0.122264,0.04225,13.629724502563477,3.651081881272944e-09,-80.014
2,1,What is prayer?,audio__male,0.264906,0.264906,0.8091407418251038,0.8091407418251038,0.0
2,2,What is prayer?,audio__male,0.346415,0.326038,99.86582946777344,30.62306022644043,-20.376999999999978
2,3,What is prayer?,audio__male,0.448302,0.448302,1.1303032636642456,1.1303032636642456,0.0
2,4,What is prayer?,audio__male,0.550189,0.509434,2.040186882019043,7.91354977991432e-05,-40.75499999999999
2,5,What is prayer?,audio__male,0.957736,1.037708,1.9441799850028474e-06,1.6609228437047818e-09,79.97200000000004
3,0,What is a lorry?,audio__male,0.141474,0.061458,38.72769546508789,2.0360557684284686e-08,-80.01599999999999
3,1,What is a lorry?,audio__male,0.262737,0.265417,0.4132500886917114,0.5056240558624268,2.6800000000000157
3,2,What is a lorry?,audio__male,0.323368,0.323368,12.342740058898926,12.342740058898926,0.0
3,3,What is a lorry?,audio__male,0.404211,0.404211,8.258195877075195,8.258195877075195,0.0
3,4,What is a lorry?,audio__male,0.485053,0.485053,73.88262176513672,73.88262176513672,0.0
3,5,What is a lorry?,audio__male,0.505263,0.505263,23.770065307617188,23.770065307617188,0.0
3,6,What is a lorry?,audio__male,0.606316,0.565895,196.6613311767578,17.123220443725586,-40.42099999999993
3,7,What is a lorry?,audio__male,0.848842,0.928833,30.853511810302734,6.774216175079346,79.99100000000003
4,0,What was 8-Chan?,audio__male,0.140824,0.060792,76.0848388671875,1.571855356985452e-08,-80.03200000000001
4,1,What was 8-Chan?,audio__male,0.261529,0.272208,0.2898266911506653,0.016832778230309486,10.678999999999995
4,2,What was 8-Chan?,audio__male,0.342,0.321882,26.344839096069336,1.1123987436294556,-20.118000000000023
4,3,What was 8-Chan?,audio__male,0.442588,0.442588,7.394359588623047,7.394359588623047,0.0
5,0,What is Atlantis?,audio__male,0.1416,0.061583,26.084686279296875,1.1963140700288477e-08,-80.01700000000001
5,1,What is Atlantis?,audio__male,0.262971,0.263,0.2523995637893677,0.2523995637893677,0.029000000000001247
5,2,What is Atlantis?,audio__male,0.343886,0.323657,55.24787521362305,6.678754806518555,-20.229000000000052
5,3,What is Atlantis?,audio__male,0.4248,0.4248,2.7999277114868164,2.7999277114868164,0.0
5,4,What is Atlantis?,audio__male,0.485486,0.485486,4.366807460784912,4.366807460784912,0.0
5,5,What is Atlantis?,audio__male,1.092343,1.092343,0.35077422857284546,0.35077422857284546,0.0
6,0,What is a cyborg?,audio__male,0.141217,0.061208,56.486061096191406,3.525162028950035e-08,-80.00900000000001
6,1,What is a cyborg?,audio__male,0.262261,0.264917,0.3613395094871521,0.36834707856178284,2.6559999999999917
6,2,What is a cyborg?,audio__male,0.342957,0.322783,30.513532638549805,7.935315132141113,-20.174000000000024
6,3,What is a cyborg?,audio__male,0.403478,0.403478,2.798656463623047,2.798656463623047,0.0
6,4,What is a cyborg?,audio__male,0.484174,0.484174,7.409729957580566,7.409729957580566,0.0
6,5,What is a cyborg?,audio__male,0.504348,0.504348,7.990086555480957,7.990086555480957,0.0
6,6,What is a cyborg?,audio__male,0.645565,0.631542,31.627958297729492,3.3670520782470703,-14.023000000000007
6,7,What is a cyborg?,audio__male,1.149913,1.229875,0.11169027537107468,0.0009098429000005126,79.96200000000009
7,0,Where was Saxony?,audio__male,0.14175,0.061708,56.87123489379883,1.4205685516799349e-08,-80.04199999999999
7,1,Where was Saxony?,audio__male,0.324,0.324,24.078113555908203,24.078113555908203,0.0
