sample_id,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,Is woke bad?,audio__male,1.224,3,6,6,83.65072229112923,0.7685596044864532,25.670479774475098,0.0050300472648814,99.08122777253298,0.6666666666666666,0.9872814020000078
1,"Write ""Test""",audio__male,1.296,2,4,4,15.364106708904728,0.0242242005869144,14.035895586013794,4.230842375818611e-05,99.84233251534972,1.0,0.2282771139998658
2,What is prayer?,audio__male,1.08,3,6,6,19.57919780033755,5.42709722878993,1.5852450728416445,0.4046099386614514,72.28130956061763,0.6666666666666666,0.2109928459994989
3,What is a lorry?,audio__male,1.152,4,8,8,48.11367644369602,17.832085462969495,27.31178855895996,10.30046796798706,62.93759533458828,0.25,0.2020230919997629
4,What was 8-Chan?,audio__male,1.368,2,4,4,27.52846606075764,2.1308977815503414,16.86959934234619,0.5646157609298825,92.25929342794736,1.0,0.2552401140001166
5,What is Atlantis?,audio__male,1.416,3,6,6,14.850411742925644,2.408110630519273,3.5833675861358643,1.575350970029831,83.78421640957912,0.6666666666666666,0.2470508809992679
6,What is a cyborg?,audio__male,1.392,4,8,8,17.162381849251688,3.7337621429732697,7.699908256530762,3.0828542709350586,78.24449906913085,0.5,0.2329258170002504
7,Where was Saxony?,audio__male,1.296,3,6,6,25.08614492416382,9.05765776774741,15.859246730804443,6.02597188949585,63.89378361988666,0.3333333333333333,0.1993543069993393
8,Explain horoscope.,audio__male,1.512,2,4,4,10.12442496350559,3.9647133672528794,3.667361617088318,1.8584437652607448,60.84011307759158,0.0,0.221072076999917
9,History of Africa.,audio__male,1.344,3,6,6,41.16528018411285,41.1570031097538,1.9101719558238983,1.9101719558238983,0.0201069306999264,0.3333333333333333,0.2110958150005899
10,What is Freetekno?,audio__male,1.248,3,6,6,15.742655648263584,11.893607776426563,11.486301064491272,0.9631361961364746,24.44980032489989,0.6666666666666666,0.1770433849997061
11,What is Gremolata?,audio__male,1.392,3,6,6,16.744097890360308,3.9766185022237095,5.6280437707901,0.5277196452952921,76.25062557408317,0.6666666666666666,0.1847919709998677
12,Where is Flanders?,audio__male,1.416,3,6,6,26.50317935148875,21.59015358027396,17.453471183776855,3.932042837142944,18.537495845526976,0.3333333333333333,0.1880176149998078
13,Who is Larry Page?,audio__male,1.464,4,8,8,18.778516702353954,2.7854049831830707,7.0964977741241455,1.823299765586853,85.16706602905484,0.0,0.2613701460004449
14,What is a technate?,audio__male,1.296,4,8,8,5.62003019452095,2.8802000932429577,3.0058515071868896,0.6327892541885376,48.751163364728775,0.75,0.2163599440000325
15,What's ARM Dynarec?,audio__male,1.536,3,6,6,47.4246140109996,22.725320307281823,40.94905757904053,2.0727190375328064,52.0811697022754,0.3333333333333333,0.2450766950005345
16,Who Killed Marilyn?,audio__male,1.368,3,6,6,16.021243572991807,1.1788739060164757,10.342172145843506,0.0214730566367506,92.64180773080692,0.0,0.2130751020004027
17,Who is Max Schrems?,audio__male,1.632,4,8,8,21.665559143177237,13.777898660727828,8.726243793964386,2.611215054988861,36.40644781112576,0.25,0.2274649849996421
18,How smart is marmot?,audio__male,1.608,4,8,8,49.13595180958509,7.5886182118119905,16.141440391540527,2.7559620141983032,84.55587419732926,0.5,0.2306448519993864
19,What does Baja mean?,audio__male,1.56,4,8,8,83.25697811727377,5.183263464384566,16.144722878932953,0.0073308378923684,93.77437953959422,0.5,0.2520708080000986
20,What is a motor tic?,audio__male,1.632,5,10,10,25.624006747081875,11.474073344795013,14.469274997711182,4.491205334663391,55.22139274295302,0.4,0.2516254470001513
21,What is a rift lake?,audio__male,1.56,5,10,10,59.98981213835068,29.51052426196217,27.755136489868164,11.859932899475098,50.80744011349139,0.6,0.2341130370004975
22,What is a sacrament?,audio__male,1.416,4,8,8,13.88755105502878,3.6787390859643816,6.0582544803619385,2.392475962638855,73.51052700805529,0.0,0.2193519129996275
23,When did Alfred die?,audio__male,1.464,4,8,8,44.7524809874682,26.35074364700683,5.5534584522247314,4.934259653091431,41.11892108420607,0.75,0.2159830680002414
24,Who invented Hangul?,audio__male,1.392,3,6,6,25.42368761698405,8.029382613819811,3.111611008644104,2.032047986984253,68.41771054307694,0.0,0.1948884309995264
25,Who is Sean Hannity?,audio__male,1.608,4,8,8,7.660450056195259,5.642445252249388,6.919710636138916,3.011430025100708,26.3431624662032,0.25,0.2294844580001154
26,Who owns Nissan now?,audio__male,1.632,4,8,8,47.16803267039359,52.29434304406419,22.55921173095703,13.854061603546144,-10.868187803152296,0.0,0.2208060900002237
