sample_id,dataset_config,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,single_sentence_1k,What is a lorry?,audio__male,1.152,4,8,8,47.91818720847368,17.767424585969906,27.200883865356445,10.258044242858887,62.921334004830676,0.25,0.08389737500692718
1,single_sentence_1k,Tell me about AI.,audio__male,1.584,4,8,8,19.233384733215274,10.39418787587374,3.5746264457702637,3.815161108970642,45.95757314663705,0.25,0.0318765409901971
2,single_sentence_1k,What is a cyborg?,audio__male,1.392,4,8,8,17.157617551274598,3.7228095397287246,7.652273893356323,3.084263324737549,78.30229326068545,0.5,0.041792874995735474
3,single_sentence_1k,How is henna made?,audio__male,1.32,4,8,8,24.697389281907817,11.392002327866976,24.829310417175293,6.896648168563843,53.87365766545925,0.25,0.037007499995524995
4,single_sentence_1k,Who is Larry Page?,audio__male,1.464,4,8,8,18.780188381671906,2.785060555122527,7.099150657653809,1.819443702697754,85.1702203485853,0.0,0.03572850000637118
5,single_sentence_1k,Why Do Birds Sing?,audio__male,1.416,4,8,8,48.7572979927063,12.988643633201718,22.40754461288452,1.9994054734706879,73.36061642475612,0.75,0.037865249993046746
6,single_sentence_1k,What is Quad Bayer?,audio__male,1.416,4,8,8,39.68361678662562,2.1449655598087394,3.195315957069397,0.009426575154066086,94.59483350184037,1.0,0.03342870900814887
7,single_sentence_1k,What is a technate?,audio__male,1.296,4,8,8,5.625188685953617,2.8795294779466984,3.00584614276886,0.6327920854091644,48.81008195979221,0.75,0.02866054099285975
8,single_sentence_1k,What is an estuary?,audio__male,1.368,4,8,8,80.29249587655067,59.31962308845283,71.85800552368164,12.508589744567871,26.120588928190173,0.5,0.03208691699546762
9,single_sentence_1k,Who is Max Schrems?,audio__male,1.632,4,8,8,21.693347856024047,13.778074055636637,8.725432395935059,2.6107659339904785,36.487101266803364,0.25,0.03421275000437163
10,single_sentence_1k,How smart is marmot?,audio__male,1.608,4,8,8,49.189715318381786,7.59644523874158,16.15669059753418,2.7590094804763794,84.55684244242241,0.5,0.03317158299614675
11,single_sentence_1k,What does Baja mean?,audio__male,1.56,4,8,8,83.38068796344571,5.159530010593392,16.17032428085804,0.00393020105548203,93.81208030706662,0.5,0.03188820798823144
12,single_sentence_1k,What is a motor tic?,audio__male,1.632,5,10,10,25.622929667308927,11.47195681366139,14.469356536865234,4.482641220092773,55.22777074044772,0.4,0.03315870799997356
13,single_sentence_1k,What is a rift lake?,audio__male,1.56,5,10,10,60.00470432799775,29.51493569617716,27.776680946350098,11.837279796600342,50.81229709117038,0.6,0.031244833007804118
14,single_sentence_1k,What is a sacrament?,audio__male,1.416,4,8,8,9.056204155564046,3.674913479182414,6.0384111404418945,2.3734441995620728,59.421039808112305,0.0,0.030397333001019433
15,single_sentence_1k,When did Alfred die?,audio__male,1.464,4,8,8,44.75225965586489,26.351057922740956,5.550267696380615,4.935192108154297,41.117927618907196,0.75,0.03007912500470411
16,single_sentence_1k,When was ABC formed?,audio__male,1.92,4,8,8,47.39217948913574,19.162178183575634,22.20705509185791,5.236785650253296,59.56679268576706,0.25,0.034684792000916786
17,single_sentence_1k,Who is Sean Hannity?,audio__male,1.608,4,8,8,7.706894636154175,5.5905338889842255,6.899693489074707,3.002745568752289,27.460616072805642,0.0,0.03169283299939707
18,single_sentence_1k,Who owns Nissan now?,audio__male,1.632,4,8,8,47.25403427705169,52.40847407844274,22.52187728881836,13.886664867401123,-10.907935968324797,0.0,0.0324970840010792
19,single_sentence_1k,Why is the sky blue?,audio__male,1.728,5,10,10,45.74060159254223,19.720612085866726,20.282236099243164,13.572187900543213,56.88598007184481,0.4,0.03364845800388139
20,single_sentence_1k,How to make pancakes.,audio__male,1.632,4,8,8,22.95691249985248,5.7156877481288575,10.450016498565674,0.16590205021202564,75.10254156274026,0.75,0.03464433299086522
21,single_sentence_1k,Is it chilly in Haiti,audio__male,1.656,5,10,10,84.46973330229521,65.09203923934314,50.27581787109375,10.135518074035645,22.940399247626775,0.2,0.03550508299667854
22,single_sentence_1k,What color is the sky,audio__male,1.68,5,10,10,46.140765772317536,31.249164648239848,49.81939506530762,12.477190017700195,32.27428256730842,0.4,0.034790874997270294
23,single_sentence_1k,What is a haplogroup?,audio__male,1.512,4,8,8,14.597853338629648,7.349114189141435,7.151480436325073,4.859277963638306,49.6561993146362,0.75,0.03492454200750217
24,single_sentence_1k,What is a projectile?,audio__male,1.488,4,8,8,7.181227759458125,6.054571008537752,3.29460072517395,0.17550844326615334,15.68891544257868,0.75,0.033998875005636364
25,single_sentence_1k,What is the pink tax?,audio__male,1.752,5,10,10,29.407002522051336,2.65249779519835,3.387231469154358,0.6526205837726593,90.98004703740433,0.8,0.03632508400187362
26,single_sentence_1k,When was Li Bai born?,audio__male,1.776,5,10,10,43.50477209680939,2.6559136427001717,9.817631721496582,1.991051971912384,93.89512112190802,0.2,0.03739062500244472
27,single_sentence_1k,Why did US enter ww2?,audio__male,2.832,5,10,10,29.100338435173036,13.725161716761068,12.732093811035156,1.103223443031311,52.83504435064672,0.6,0.045356832997640595
28,single_sentence_1k,Give examples of RTOS.,audio__male,2.424,4,8,8,38.87323412299156,10.072059923376628,1.2587864398956299,0.8096412271261215,74.08998723515131,1.0,0.04107250001106877
29,single_sentence_1k,How do I detail a car?,audio__male,1.776,6,12,12,30.61837496785419,31.27034269954352,25.121810913085938,1.834841102361679,-2.1293348597821424,0.5,0.034585917004733346
30,single_sentence_1k,How do you do a hangi?,audio__male,1.632,6,12,12,18.45044601051988,17.468529935235473,5.615069150924683,4.424309015274048,5.3219096965165384,0.5,0.034098082993295975
31,single_sentence_1k,Talk about the sunset.,audio__male,1.608,4,8,8,4.704292981180515,7.37261928026954,3.2502115964889526,4.064917862415314,-56.72109092192264,0.75,0.032925583989708684
32,single_sentence_1k,What are Smart Cities?,audio__male,1.536,4,8,8,10.758751779794693,14.269043146173413,4.377902269363403,4.377902269363403,-32.62731066043524,0.5,0.03296137499273755
33,single_sentence_1k,When was Gus Dur born?,audio__male,1.824,5,10,10,39.02402290360694,1.9669323053636574,13.996941566467285,0.05155974067747593,94.9596885225745,0.2,0.03501108400814701
34,single_sentence_1k,When was the Iron Age?,audio__male,1.656,5,10,10,30.757345358410383,49.30867636208178,14.829282283782959,14.480765342712402,-60.3151240378379,0.0,0.03342416700616013
35,single_sentence_1k,Who was DTV Animation?,audio__male,2.112,4,8,8,45.031747505371726,36.95123208485438,6.484057426452637,2.1767062097787857,17.944041411125426,0.25,0.03836045801290311
36,single_sentence_1k,Can you tell me a joke?,audio__male,1.56,6,12,12,43.143990698386915,21.43224865250191,28.690704345703125,8.464097738265991,50.32390767388324,0.3333333333333333,0.03213666600640863
37,single_sentence_1k,How do I make escargot?,audio__male,1.848,5,10,10,34.87651678673719,30.05129815774918,8.756302833557129,6.981417417526245,13.835150621529214,0.6,0.03495070799544919
38,single_sentence_1k,How older is Elon Musk?,audio__male,2.016,5,10,10,67.98410774262156,53.59621112559107,79.23175048828125,37.078389167785645,21.163617637670676,0.2,0.03826245899836067
39,single_sentence_1k,How to build a snowman.,audio__male,1.728,5,10,10,24.48073854446411,7.320492318006108,13.928131103515625,2.743783861398697,70.09693026740196,0.2,0.03432770799554419
40,single_sentence_1k,Is a thumb war violent?,audio__male,1.896,5,10,10,69.66486802693603,14.832509238604128,31.463292598724365,2.489914894104004,78.70876718969866,0.2,0.035254417001851834
41,single_sentence_1k,Name a random ACC team.,audio__male,2.28,5,10,10,40.344749665260316,12.929114285763353,22.601106643676758,4.616005778312683,67.95341551741927,0.2,0.04015345800144132
42,single_sentence_1k,What does ductile mean?,audio__male,1.656,4,8,8,47.140391109511256,9.360274926094029,26.856260299682617,0.12137910421006382,80.14383269678588,0.5,0.03425333400082309
43,single_sentence_1k,What is a Dyson Sphere?,audio__male,1.776,5,10,10,24.98501109037398,8.728662050587712,2.9886467456817627,1.4391844272613525,65.06440593916479,0.8,0.03365295800904278
44,single_sentence_1k,What is an audiologist?,audio__male,1.584,4,8,8,90.6611632291897,46.52477749888478,53.4479923248291,13.980290412902832,48.68279223235751,0.5,0.03266295800858643
45,single_sentence_1k,What should I call you?,audio__male,1.464,5,10,10,30.17389072833016,30.627137065440127,17.26131582260132,18.699063777923584,-1.502114331859813,0.4,0.03150766699400265
46,single_sentence_1k,When was C++ developed?,audio__male,2.088,4,8,8,9.21408698707819,4.418936957676124,7.767488956451416,0.25223900377750397,52.041510310536154,0.5,0.03725433300132863
47,single_sentence_1k,When was CSS developed?,audio__male,2.016,4,8,8,5.375752213411033,3.9291984486117144,4.877106189727783,2.5291118025779724,26.908862376330557,0.5,0.03833291599585209
48,single_sentence_1k,When was Dubai founded?,audio__male,1.656,4,8,8,36.79021828208377,2.6221063196040753,11.980148792266846,0.258964367210865,92.87281662886737,0.0,0.03486641698691528
49,single_sentence_1k,Where did ballet begin?,audio__male,1.464,4,8,8,52.68372137330288,4.237803247865065,36.3397741317749,0.22162579372525215,91.95614292726758,0.75,0.03200345799268689
50,single_sentence_1k,Where do foxes inhabit?,audio__male,1.68,4,8,8,45.440883219242096,19.406082179100082,22.081128001213074,0.37914447486400604,57.293783033507346,0.5,0.03426200000103563
51,single_sentence_1k,Where is the Rhineland?,audio__male,1.392,4,8,8,29.300218671560287,32.16239637901216,28.09724998474121,29.741573333740234,-9.768451694969738,0.5,0.03157408301194664
52,single_sentence_1k,Who invented the radio?,audio__male,1.56,4,8,8,47.24915087595582,19.202977231797057,11.62992000579834,14.636070728302002,59.35804797379103,0.0,0.03161045799788553
53,single_sentence_1k,Who wears short shorts?,audio__male,1.704,4,8,8,50.938553273677826,12.782105802972183,23.26332426071167,7.425976991653442,74.90681422713814,0.5,0.034401500000967644
54,single_sentence_1k,How do thermostats work?,audio__male,1.752,4,8,8,18.83307330822572,6.2356007925882295,4.52779084444046,0.27598147094249725,66.89015812483082,0.25,0.035323333999258466
55,single_sentence_1k,How large is Antarctica?,audio__male,1.776,4,8,8,34.42212813641093,29.817610021680622,11.19987964630127,11.191764831542969,13.37662243450822,0.25,0.03430504100106191
56,single_sentence_1k,How to debone a chicken.,audio__male,1.752,5,10,10,20.06767590045929,11.41975722219795,17.91370391845703,0.4757456034421921,43.09377289705688,0.6,0.03447199999936856
57,single_sentence_1k,How to write a proposal?,audio__male,1.752,5,10,10,20.392225617170332,13.449183641625496,6.538219690322876,3.2857836484909058,34.04749489285157,0.8,0.03632108400051948
58,single_sentence_1k,Is there planet hopping?,audio__male,1.488,4,8,8,9.195744086522609,0.5182649531585342,2.2878087162971497,0.08703413046896458,94.36407811828835,1.0,0.033462792009231634
59,single_sentence_1k,List of NovaLogic games.,audio__male,2.136,4,8,8,18.078853007405996,6.642161606956506,13.84894984960556,0.34172413498163223,63.260049715346724,0.25,0.03990654100198299
60,single_sentence_1k,What are TensorFlow ops?,audio__male,1.68,4,8,8,19.21169249014929,24.34381853875708,5.512743234634399,0.18008867092430592,-26.713555045914184,0.75,0.036726916005136445
61,single_sentence_1k,What does GDP stand for?,audio__male,2.232,5,10,10,9.19868173313298,0.6744667342871018,5.489927411079407,0.011184665374457836,92.66778921312473,1.0,0.03910629099118523
62,single_sentence_1k,What does a shipyard do?,audio__male,1.728,5,10,10,22.71090813014274,11.576419477561608,11.385650157928467,0.07382676005363464,49.027051621079984,0.8,0.03479704199708067
63,single_sentence_1k,What is a beta particle?,audio__male,1.872,5,10,10,37.60420217514038,15.07546537185031,17.28842306137085,2.5958917140960693,59.91015764239112,1.0,0.03586287499638274
64,single_sentence_1k,What's the biggest wasp?,audio__male,1.488,4,8,8,28.48334229642205,2.112918529764144,9.570037841796875,0.20558775775134563,92.58191504432554,1.0,0.032225333008682355
65,single_sentence_1k,When was Berlin founded?,audio__male,1.656,4,8,8,33.80294540294068,4.0509287595784045,5.2663798332214355,0.2323111966252327,88.01604797661805,0.0,0.033718249993398786
66,single_sentence_1k,When was Boeing founded?,audio__male,1.584,4,8,8,43.7012036860082,2.4316317142343995,6.597530961036682,0.18877222016453743,94.43577863047985,0.0,0.03373012501106132
67,single_sentence_1k,When was Wu Zetian born?,audio__male,2.016,5,10,10,52.095153427124025,5.766847090076453,23.307568550109863,5.683767318725586,88.9301658394313,0.4,0.03845675000047777
68,single_sentence_1k,Where do kangaroos live?,audio__male,1.68,4,8,8,7.599672565236688,5.102676841795888,2.911434054374695,0.9546586275100708,32.856622466379015,0.5,0.03421345801325515
69,single_sentence_1k,Where was Zheng He born?,audio__male,1.704,5,10,10,35.484990199417965,18.96911504244577,38.85934829711914,15.546419143676758,46.543271011649004,0.2,0.03538941701117437
70,single_sentence_1k,Who is Patriarch Kirill?,audio__male,1.728,4,8,8,7.1625638521454675,3.2557377527182374,5.071764945983887,0.007346284226514399,54.54507883035462,0.25,0.03821804100880399
71,single_sentence_1k,How does metabolism work?,audio__male,1.776,4,8,8,12.84439880035643,5.271182770653468,7.66604220867157,1.3755936324596405,58.9612339776682,0.0,0.03872291700099595
72,single_sentence_1k,What do Grasshoppers eat?,audio__male,1.704,4,8,8,16.451897996885236,4.364019644424975,14.57459545135498,0.007020487217232585,73.47406575672184,0.75,0.03831404200172983
73,single_sentence_1k,What does HTTP stand for?,audio__male,2.568,5,10,10,11.528757509589195,5.0988587104083765,8.766961097717285,0.08755869045853615,55.7726953128528,0.6,0.043836791010107845
74,single_sentence_1k,What religion is correct?,audio__male,1.584,4,8,8,22.33317087031901,12.663450392765991,6.562154054641724,0.07327499613165855,43.297570836231614,0.5,0.037142957997275516
75,single_sentence_1k,When did Lou Gehrig live?,audio__male,1.944,5,10,10,36.19022096672734,13.836834514141088,5.689822196960449,1.5264810919761658,61.76637184154683,0.2,0.03918474999954924
76,single_sentence_1k,When did Marxism develop?,audio__male,1.728,4,8,8,32.5651772525016,19.39672053810419,20.046103954315186,8.78881311416626,40.43723334374245,0.5,0.03595941599633079
77,single_sentence_1k,When was Comoros founded?,audio__male,1.68,4,8,8,14.285908425226808,3.255777211352738,5.128185272216797,0.07085927948355675,77.20986923307225,0.0,0.03523070800292771
78,single_sentence_1k,When was Florida founded?,audio__male,1.632,4,8,8,26.26179664209485,4.023005395236233,10.654321193695068,0.3769616633653641,84.68114938949842,0.0,0.03739425000094343
79,single_sentence_1k,When was Porsche founded?,audio__male,1.656,4,8,8,13.153354454785585,3.7789230098119333,12.926294803619385,0.4753868281841278,71.27027160408463,0.0,0.03650695898977574
80,single_sentence_1k,When was the NFL created?,audio__male,2.184,5,10,10,20.549169996380805,23.935337744208205,9.341034412384033,0.9520009458065033,-16.47836748843766,0.0,0.04022683399671223
81,single_sentence_1k,Who defeated the Xiongnu?,audio__male,1.632,4,8,8,31.140733735045387,24.37125359893662,18.142783164978027,16.70028591156006,21.738345004024364,0.25,0.037124875001609325
82,single_sentence_1k,give me some Last Emperor,audio__male,1.872,5,10,10,34.319528167004684,36.78027721728357,16.45136785507202,8.870965003967285,-7.170113290323981,0.4,0.03743866698641796
83,single_sentence_1k,Can you texture 3D models?,audio__male,2.376,3,6,6,35.22395392258962,10.526980457263058,29.726675748825073,1.1767062842845917,70.11414311863508,0.3333333333333333,0.04042058400227688
84,single_sentence_1k,Hello there Obi One Kenobi,audio__male,2.232,5,10,10,40.93211572831497,4.728122058235931,11.05989933013916,1.0130352675914764,88.44886961226577,0.6,0.041191958996932954
85,single_sentence_1k,How do I clean my armpits?,audio__male,2.064,6,12,12,63.454686085383095,48.20476323405455,55.19304084777832,19.054487705230713,24.032776445869757,0.5,0.04011112499574665
86,single_sentence_1k,How do I make apple juice?,audio__male,1.944,6,12,12,23.17724745720625,14.35877938598484,14.511953830718994,3.7377562522888184,38.04795236148535,0.3333333333333333,0.03773991701018531
87,single_sentence_1k,How far is Delhi from Goa?,audio__male,1.968,6,12,12,64.91435712484599,31.956638544696034,47.601444244384766,1.1008608937263489,50.77107752413584,0.5,0.04042858399043325
88,single_sentence_1k,How long is the Omo River?,audio__male,1.872,6,12,12,52.291226188341774,45.10083961417937,32.4346342086792,30.562132835388184,13.750655890653958,0.16666666666666666,0.0366638330015121
