sample_id,condition,transcript,n_segments,segment_idx,segment_rank_abs_sv,segment_token,segment_abs_sv,segment_dur_sec,base_logprob,deleted_logprob,logprob_drop,runtime_sec
1,librispeech_original,A FRENCHMAN YOUR NAME,4,1,1,FRENCHMAN,0.0961000397801399,0.5218978102189781,-0.24801531434059143,-1.1721057891845703,0.9240904748439789,0.3457730685004208
1,librispeech_original,A FRENCHMAN YOUR NAME,4,2,2,YOUR,0.0275134555995464,0.7267468065693432,-0.24801531434059143,-0.48976320028305054,0.2417478859424591,0.4342735182508477
1,librispeech_original,A FRENCHMAN YOUR NAME,4,0,3,A,0.006064673885703,0.12016833941605842,-0.24801531434059143,-0.5359921455383301,0.28797683119773865,0.2612284487513534
1,librispeech_original,A FRENCHMAN YOUR NAME,4,3,4,NAME,0.0017906427383422,0.23111222627737238,-0.24801531434059143,-0.20737144351005554,-0.04064387083053589,0.5220997367505333
6,librispeech_original,AHEM A COMMON RUMOR,4,3,1,RUMOR,0.1311325579881668,0.3510249999999999,-0.20719780027866364,-0.9884202480316162,0.7812224477529526,0.4107199659993057
6,librispeech_original,AHEM A COMMON RUMOR,4,2,2,COMMON,0.0602154284715652,0.3915599999999999,-0.20719780027866364,-2.0861003398895264,1.8789025396108627,0.31804325624761987
6,librispeech_original,AHEM A COMMON RUMOR,4,0,3,AHEM,0.0300000458955764,0.4213924999999999,-0.20719780027866364,-2.600055456161499,2.3928576558828354,0.1787950504985929
6,librispeech_original,AHEM A COMMON RUMOR,4,1,4,A,0.0116917639970779,0.5343899999999999,-0.20719780027866364,-1.4749343395233154,1.2677365392446518,0.23800321849921602
11,librispeech_original,ALTERED WORDS AND FIGURES,4,0,1,ALTERED,0.1214121654629707,0.4828878546099292,-0.1879526972770691,-3.6531989574432373,3.465246260166168,0.16962866600078996
11,librispeech_original,ALTERED WORDS AND FIGURES,4,3,2,FIGURES,0.0584471076726913,0.555375,-0.1879526972770691,-1.3748741149902344,1.1869214177131653,0.43924465750023955
11,librispeech_original,ALTERED WORDS AND FIGURES,4,1,3,WORDS,0.0491394214332103,0.46326241134751767,-0.1879526972770691,-0.371069997549057,0.18311730027198792,0.25326433349982835
11,librispeech_original,ALTERED WORDS AND FIGURES,4,2,4,AND,0.0172254052013158,0.2221458333333335,-0.1879526972770691,-1.371160864830017,1.183208167552948,0.35506546550095663
26,librispeech_original,AND I BOUGHT THINGS,4,2,1,BOUGHT,0.1313437521457672,0.42767125984251975,-0.11887162178754807,-1.4674826860427856,1.3486110642552376,0.3824480692492216
26,librispeech_original,AND I BOUGHT THINGS,4,3,2,THINGS,0.0763130560517311,0.44407381889763786,-0.11887162178754807,-1.174692153930664,1.055820532143116,0.46499423400018713
26,librispeech_original,AND I BOUGHT THINGS,4,1,3,I,0.0249064583331346,0.17293749999999997,-0.11887162178754807,-0.17302055656909943,0.05414893478155136,0.29380357899935916
26,librispeech_original,AND I BOUGHT THINGS,4,0,4,AND,0.0238779075443744,0.20112204724409444,-0.11887162178754807,-0.8361689448356628,0.7172973230481148,0.19612674874952063
32,librispeech_original,AND NOW I SAID,4,3,1,SAID,0.1149194166064262,0.3619148936170211,-0.15812824666500092,-1.1392958164215088,0.9811675697565079,0.4773526232493168
32,librispeech_original,AND NOW I SAID,4,0,2,AND,0.052078790962696,0.18055452127659566,-0.15812824666500092,-0.6265957355499268,0.46846748888492584,0.18254586799957906
32,librispeech_original,AND NOW I SAID,4,1,3,NOW,0.0408588796854019,0.2613829787234043,-0.15812824666500092,-0.14428254961967468,-0.013845697045326233,0.30327807674984797
32,librispeech_original,AND NOW I SAID,4,2,4,I,0.0117044290527701,0.18095744680851045,-0.15812824666500092,-0.23701876401901245,0.07889051735401154,0.39274985649899463
33,librispeech_original,AND OH ANNE DEAR,4,3,1,DEAR,0.1030513644218444,0.34550000000000014,-0.33837923407554626,-3.028136968612671,2.6897577345371246,0.42931989424687345
33,librispeech_original,AND OH ANNE DEAR,4,0,2,AND,0.0451045222580432,0.18875986842105263,-0.33837923407554626,-3.168132781982422,2.8297535479068756,0.17266236099749221
33,librispeech_original,AND OH ANNE DEAR,4,2,3,ANNE,0.0439908020198345,0.32194736842105254,-0.33837923407554626,-1.2073204517364502,0.8689412176609039,0.36580479849726544
33,librispeech_original,AND OH ANNE DEAR,4,1,4,OH,0.0257286839187145,0.24167434210526317,-0.33837923407554626,-0.8055254220962524,0.4671461880207062,0.2546848757483531
35,librispeech_original,AND REFUSED TO APOLOGISE,4,3,1,APOLOGISE,0.1133277937769889,0.846997685185185,-0.2380651980638504,-0.8985863924026489,0.6605211943387985,0.5225502350003808
35,librispeech_original,AND REFUSED TO APOLOGISE,4,1,2,REFUSED,0.105855219066143,0.5046296296296298,-0.2380651980638504,-1.0663270950317383,0.8282618969678879,0.29954913000256056
35,librispeech_original,AND REFUSED TO APOLOGISE,4,0,3,AND,0.0546595640480518,0.1468726851851852,-0.2380651980638504,-0.8352134823799133,0.5971482843160629,0.20762366375129204
35,librispeech_original,AND REFUSED TO APOLOGISE,4,2,4,TO,0.0008446178399026,0.0403703703703705,-0.2380651980638504,-0.20760785043239594,-0.030457347631454468,0.40031561475188937
38,librispeech_original,AND SO IN MY VIEW,5,4,1,VIEW,0.0833324491977691,0.3019017857142856,-0.0335468053817749,-0.019232196733355522,-0.01431460864841938,0.3921936944010668
38,librispeech_original,AND SO IN MY VIEW,5,0,2,AND,0.0455801002681255,0.23312499999999997,-0.0335468053817749,-0.7073665261268616,0.6738197207450867,0.13076430660148616
38,librispeech_original,AND SO IN MY VIEW,5,3,3,MY,0.0452482961118221,0.22196428571428584,-0.0335468053817749,-0.012018482200801373,-0.02152832318097353,0.32457908220239917
38,librispeech_original,AND SO IN MY VIEW,5,2,4,IN,0.0366251915693283,0.12594642857142846,-0.0335468053817749,-0.17652545869350433,0.14297865331172943,0.2616464890015777
38,librispeech_original,AND SO IN MY VIEW,5,1,5,SO,0.036394864320755,0.4017857142857144,-0.0335468053817749,-0.16859152913093567,0.13504472374916077,0.1945857494021766
43,librispeech_original,AND THERE WAS MY AUNT,5,4,1,AUNT,0.1226118505001068,0.29139527027027023,-0.024671092629432678,-0.825727105140686,0.8010560125112534,0.4500390014000004
43,librispeech_original,AND THERE WAS MY AUNT,5,1,2,THERE,0.0519336797297,0.1329476351351352,-0.024671092629432678,-0.07962162792682648,0.0549505352973938,0.218652176001342
43,librispeech_original,AND THERE WAS MY AUNT,5,0,3,AND,0.037715058773756,0.1605540540540541,-0.024671092629432678,-0.8423485159873962,0.8176774233579636,0.13695482980110682
43,librispeech_original,AND THERE WAS MY AUNT,5,3,4,MY,0.0058976123109459,0.10067567567567559,-0.024671092629432678,-0.03278372436761856,0.008112631738185883,0.37048222360026556
43,librispeech_original,AND THERE WAS MY AUNT,5,2,5,WAS,0.005035753827542,0.0805405405405405,-0.024671092629432678,-0.013111873529851437,-0.011559219099581242,0.29587798500142526
44,librispeech_original,AND THIS AND HERE AGAIN,5,4,1,AGAIN,0.0822288170456886,0.6043125,-0.11933034658432007,-0.7554531693458557,0.6361228227615356,0.4284719546005363
44,librispeech_original,AND THIS AND HERE AGAIN,5,1,2,THIS,0.0274913739413023,0.32266666666666666,-0.11933034658432007,-0.49739870429039,0.37806835770606995,0.23878974560066127
44,librispeech_original,AND THIS AND HERE AGAIN,5,0,3,AND,0.0266677141189575,0.19093750000000004,-0.11933034658432007,-1.605616807937622,1.486286461353302,0.15448988860007376
44,librispeech_original,AND THIS AND HERE AGAIN,5,2,4,AND,0.0186685938388109,0.21866666666666668,-0.11933034658432007,-0.5161640644073486,0.39683371782302856,0.28859807300032114
44,librispeech_original,AND THIS AND HERE AGAIN,5,3,5,HERE,0.0100921215489506,0.17141666666666677,-0.11933034658432007,-0.06614251434803009,-0.05318783223628998,0.3542487711994909
60,librispeech_original,AT YOUR SERVICE SIR,4,3,1,SIR,0.0453302823007106,0.44169230769230805,-0.02487443946301937,-1.9833712577819824,1.958496818318963,0.4446323084994219
60,librispeech_original,AT YOUR SERVICE SIR,4,0,2,AT,0.0,0.020408653846153868,-0.02487443946301937,-0.035874463617801666,0.011000024154782295,0.17422094275025302
60,librispeech_original,AT YOUR SERVICE SIR,4,1,3,YOUR,0.0,0.16078365384615378,-0.02487443946301937,-0.05423329770565033,0.02935885824263096,0.2613019880009233
60,librispeech_original,AT YOUR SERVICE SIR,4,2,4,SERVICE,0.0,0.4416923076923076,-0.02487443946301937,-0.07480906695127487,0.0499346274882555,0.3549588922505791
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,5,1,VAIN,0.1238421574234962,0.39874999999999994,-0.07232606410980225,-0.9488760232925415,0.8765499591827393,0.4036133211654184
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,1,2,ALL,0.0807727202773094,0.16121212121212125,-0.07232606410980225,-0.10728801041841507,0.034961946308612823,0.1758467823334892
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,3,3,WAS,0.0451893508434295,0.1813636363636364,-0.07232606410980225,-0.04668482020497322,-0.025641243904829025,0.2826167948320896
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,2,4,THIS,0.0326637811958789,0.16121212121212114,-0.07232606410980225,-0.42202654480934143,0.3497004806995392,0.22963851183158113
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,4,5,IN,0.0171596873551607,0.09068181818181809,-0.07232606410980225,-0.17127133905887604,0.09894527494907379,0.3407104848326223
65,librispeech_original,BUT ALL THIS WAS IN VAIN,6,0,6,BUT,0.0048638419248163,0.012624999999999997,-0.07232606410980225,-0.0817147046327591,0.009388640522956848,0.11279417049809126
66,librispeech_original,BUT BEFORE HE COULD ACT,5,1,1,BEFORE,0.1183833181858062,0.32333333333333325,-0.07944522798061371,-1.7613494396209717,1.681904211640358,0.20601158839999698
66,librispeech_original,BUT BEFORE HE COULD ACT,5,3,2,COULD,0.0675251558423042,0.16166666666666663,-0.07944522798061371,-0.5019384026527405,0.42249317467212677,0.4024072050000541
66,librispeech_original,BUT BEFORE HE COULD ACT,5,0,3,BUT,0.0261539034545421,0.16083333333333327,-0.07944522798061371,-2.027068614959717,1.947623386979103,0.1311347215989372
66,librispeech_original,BUT BEFORE HE COULD ACT,5,2,4,HE,0.0176546573638916,0.08083333333333331,-0.07944522798061371,-0.15070313215255737,0.07125790417194366,0.3121707726008026
66,librispeech_original,BUT BEFORE HE COULD ACT,5,4,5,ACT,0.0076463776640594,0.1601666666666668,-0.07944522798061371,-0.12139050662517548,0.04194527864456177,0.46728833399829456
76,librispeech_original,BUT WHERE YOU GO I GO,6,1,1,WHERE,0.0342156663537025,0.2204661016949152,-0.022715944796800613,-0.07709258794784546,0.054376643151044846,0.21087746233388316
76,librispeech_original,BUT WHERE YOU GO I GO,6,0,2,BUT,0.0313112288713455,0.17023728813559322,-0.022715944796800613,-1.6089972257614136,1.586281280964613,0.12848651116655674
76,librispeech_original,BUT WHERE YOU GO I GO,6,5,3,GO,0.0192331541329622,0.4607891949152545,-0.022715944796800613,-0.0699131116271019,0.047197166830301285,0.4143585093333968
76,librispeech_original,BUT WHERE YOU GO I GO,6,4,4,I,0.017075277864933,0.38906355932203396,-0.022715944796800613,-0.10882001370191574,0.08610406890511513,0.36082621649984503
76,librispeech_original,BUT WHERE YOU GO I GO,6,3,5,GO,0.0073916679248213,0.34072033898305076,-0.022715944796800613,-0.017172474414110184,-0.00554347038269043,0.30861476099865587
76,librispeech_original,BUT WHERE YOU GO I GO,6,2,6,YOU,0.0046219113282859,0.18038135593220328,-0.022715944796800613,-0.009032109752297401,-0.013683835044503212,0.2545481791651885
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,1,1,WE'LL,0.0939564257860183,0.27483709016393465,-0.18727660179138184,-1.8205337524414062,1.6332571506500244,0.16312981942818233
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,5,2,WITH,0.0803970992565155,0.31254098360655735,-0.18727660179138184,-0.7740746140480042,0.5867980122566223,0.39797174400051255
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,4,3,WAR,0.0533087700605392,0.22180327868852467,-0.18727660179138184,-0.25874489545822144,0.0714682936668396,0.3480952229999405
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,2,4,GO,0.0226877350360155,0.1008196721311474,-0.18727660179138184,-0.17448870837688446,-0.012787893414497375,0.2243405089996356
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,0,5,BY,0.0213509816676378,0.36233196721311484,-0.18727660179138184,-1.0332759618759155,0.8459993600845337,0.1278778191418886
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,3,6,TO,0.0043433615937829,0.05040983606557381,-0.18727660179138184,-0.24007292091846466,0.052796319127082825,0.2928933344290791
80,librispeech_original,BY WE'LL GO TO WAR WITH EM,7,6,7,EM,0.0021631650160998,0.04828586065573748,-0.18727660179138184,-0.21343109011650085,0.02615448832511902,0.4402491124284487
89,librispeech_original,CHAPTER ONE MY EDUCATION,4,3,1,EDUCATION,0.0867762342095375,0.8812355769230771,-0.2030295729637146,-1.345453143119812,1.1424235701560974,0.48956373125110986
89,librispeech_original,CHAPTER ONE MY EDUCATION,4,0,2,CHAPTER,0.0573740676045417,0.4005528846153846,-0.2030295729637146,-0.9681415557861328,0.7651119828224182,0.19067246549820993
89,librispeech_original,CHAPTER ONE MY EDUCATION,4,2,3,MY,0.0330895371735096,0.4814807692307692,-0.2030295729637146,-0.6483404636383057,0.44531089067459106,0.41797131349812844
89,librispeech_original,CHAPTER ONE MY EDUCATION,4,1,4,ONE,0.0131737496703863,0.18028846153846156,-0.2030295729637146,-0.21546919643878937,0.012439623475074768,0.308065311248356
94,librispeech_original,CLOTHO FROM TIME TO TIME,5,4,1,TIME,0.0592044629156589,0.3816081989247313,-0.275252103805542,-0.6608147621154785,0.3855626583099365,0.40942204440070784
