sample_id,dataset_config,transcript,audio_column,duration_sec,n_words,n_raw_boundaries,n_refined_boundaries,raw_mean_flux,refined_mean_flux,raw_median_flux,refined_median_flux,percent_reduction,refined_boundary_rate,runtime_sec
0,single_sentence_1k,What is a lorry?,audio__male,1.152,4,8,8,47.91818720847368,17.767424585969906,27.200883865356445,10.258044242858887,62.921334004830676,0.25,1.0249489169946173
1,single_sentence_1k,Tell me about AI.,audio__male,1.584,4,8,8,19.233384733215274,10.39418787587374,3.5746264457702637,3.815161108970642,45.95757314663705,0.25,0.10994595800002571
2,single_sentence_1k,What is a cyborg?,audio__male,1.392,4,8,8,17.157617551274598,3.7228095397287246,7.652273893356323,3.084263324737549,78.30229326068545,0.5,0.08795824999106117
3,single_sentence_1k,How is henna made?,audio__male,1.32,4,8,8,24.697389281907817,11.392002327866976,24.829310417175293,6.896648168563843,53.87365766545925,0.25,0.45863333299348596
4,single_sentence_1k,Who is Larry Page?,audio__male,1.464,4,8,8,18.780188381671906,2.785060555122527,7.099150657653809,1.819443702697754,85.1702203485853,0.0,0.0883752500085393
5,single_sentence_1k,Why Do Birds Sing?,audio__male,1.416,4,8,8,48.7572979927063,12.988643633201718,22.40754461288452,1.9994054734706879,73.36061642475612,0.75,0.08533945800445508
6,single_sentence_1k,What is Quad Bayer?,audio__male,1.416,4,8,8,39.68361678662562,2.1449655598087394,3.195315957069397,0.009426575154066086,94.59483350184037,1.0,0.050781833997461945
7,single_sentence_1k,What is a technate?,audio__male,1.296,4,8,8,5.625188685953617,2.8795294779466984,3.00584614276886,0.6327920854091644,48.81008195979221,0.75,0.08098816699930467
8,single_sentence_1k,What is an estuary?,audio__male,1.368,4,8,8,80.29249587655067,59.31962308845283,71.85800552368164,12.508589744567871,26.120588928190173,0.5,0.10297141699993517
9,single_sentence_1k,Who is Max Schrems?,audio__male,1.632,4,8,8,21.693347856024047,13.778074055636637,8.725432395935059,2.6107659339904785,36.487101266803364,0.25,0.148090416987543
