sample_id,row_index,audio_column,transcript,n_segments,top_segment_idx,random_segment_idx,top_segment_token,random_segment_token,top_abs_sv,top_sv,original_similarity,top_similarity,random_similarity,top_drop,random_drop,drop_difference,top_start_sec,top_end_sec,random_start_sec,random_end_sec,mask_duration_sec,runtime_sec
0,0,audio__female,When was Vasco Núñez de Balboa born?,7,1,2,was,Vasco,0.1641777940094471,0.1641777940094471,1.0,0.0497411713004112,0.0601796172559261,0.9502588286995888,0.939820382744074,0.0104384459555149,0.4025416666666667,0.5434583333333334,0.7789166666666667,0.9198333333333332,0.1409166666666666,3.172316976997536
1,1,audio__female,What is a Dyson Sphere?,5,1,2,is,a,0.3472325522452593,0.3472325522452593,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0,0.0,0.0,0.405,0.5265,0.57175,0.69325,0.1215,1.162699470994994
2,2,audio__female,Make a list of the most popular podcasts.,8,1,3,a,of,0.1805054303258657,0.1805054303258657,1.0000001192092896,0.210578441619873,0.1361237317323684,0.7894216775894165,0.8638763874769211,-0.0744547098875045,0.4027916666666666,0.4527916666666666,0.8055833333333333,0.8555833333333334,0.05,3.350504001020454
3,3,audio__female,How many stars are in our galaxy?,7,4,1,in,many,0.181423001922667,0.181423001922667,1.0,0.2649099826812744,0.3166386187076568,0.7350900173187256,0.6833613812923431,0.0517286360263824,1.1275833333333334,1.188,0.4223333333333333,0.48275,0.0604166666666666,2.770768871007021
4,4,audio__female,Why did US enter ww2?,5,1,2,did,US,0.2284027338027954,0.2284027338027954,1.000000238418579,0.4944857358932495,0.0129491332918405,0.5055145025253296,0.9870511051267384,-0.4815366026014089,0.429125,0.5815,0.766,0.918375,0.152375,3.3635111059993505
5,5,audio__female,Who created the South Beach Diet?,6,5,1,Diet?,created,0.2518864087760448,0.2518864087760448,1.0,0.4874628186225891,0.2311209440231323,0.5125371813774109,0.7688790559768677,-0.2563418745994568,1.7109583333333334,2.0614166666666667,0.4588333333333333,0.8092916666666666,0.3504583333333333,3.393919113033917
6,6,audio__female,What causes the northern lights?,5,1,2,causes,the,0.2360755037516355,0.2360755037516355,1.0,0.055681824684143,0.1332834362983703,0.9443181753158568,0.8667165637016296,0.0776016116142273,0.4042083333333333,0.828625,0.7073333333333334,1.13175,0.4244166666666666,3.305563078029081
7,7,audio__female,What type of rifle is an A K forty-seven?,9,4,2,is,of,0.1922354791313409,0.1922354791313409,1.000000238418579,0.2094061970710754,0.1735764145851135,0.7905940413475037,0.8264238238334656,-0.0358297824859619,1.2331666666666667,1.348625,0.6315416666666667,0.747,0.1154583333333333,2.786909021961037
8,8,audio__female,How to manage partnerships?,4,1,3,to,partnerships?,0.3231029454618692,0.3231029454618692,1.0000001192092896,0.1230502352118492,0.2341087609529495,0.8769498839974403,0.76589135825634,0.1110585257411003,0.384,0.444625,1.2728333333333333,1.3334583333333334,0.060625,2.360710538981948
9,9,audio__female,What is consciousness?,3,1,2,is,consciousness?,0.4090978410094976,0.4090978410094976,1.0,0.3137302100658417,0.2845365703105926,0.6862697899341583,0.7154634296894073,-0.029193639755249,0.403875,0.54525,0.9615416666666666,1.1029166666666668,0.141375,2.4755000120494515
